epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,10829.6,0.90841,1.28629,0.48294,0.98478,0.82077,0.73079,0.78984,0.53196,0.81911,0.71933,0.78198,0.45161,1.21836,1.86688,0.78092,1.22874,0.0005942,0.0005942,0.0005942
73,10980.1,0.90882,1.294,0.48216,0.98598,0.80884,0.74749,0.79291,0.52853,0.8027,0.74134,0.78282,0.44738,1.2303,1.87186,0.77336,1.23407,0.0005744,0.0005744,0.0005744
74,11130.9,0.88318,1.26842,0.47647,0.97703,0.80119,0.73752,0.7853,0.52232,0.80751,0.7261,0.77737,0.44386,1.23752,1.90741,0.77029,1.23898,0.0005546,0.0005546,0.0005546
75,11281.7,0.8872,1.27691,0.47145,0.97452,0.81047,0.74185,0.79757,0.53439,0.80266,0.73759,0.78957,0.45607,1.22588,1.86741,0.76414,1.23226,0.0005348,0.0005348,0.0005348
76,11432.5,0.8741,1.24612,0.46111,0.97445,0.81703,0.74752,0.7962,0.53585,0.82687,0.73373,0.79221,0.45787,1.22219,1.88102,0.76242,1.22398,0.000515,0.000515,0.000515
77,11583.8,0.87675,1.2569,0.46221,0.97218,0.81208,0.74968,0.79188,0.53161,0.80742,0.74117,0.78407,0.44636,1.23553,1.92902,0.75678,1.24698,0.0004952,0.0004952,0.0004952
78,11734.4,0.86129,1.23098,0.45309,0.96475,0.80709,0.74575,0.79488,0.53068,0.80169,0.73204,0.78155,0.44366,1.2364,1.88838,0.76271,1.25523,0.0004754,0.0004754,0.0004754
79,11885,0.86437,1.23004,0.45605,0.96905,0.80658,0.7433,0.787,0.52424,0.80386,0.73918,0.77736,0.44063,1.23422,1.95274,0.78683,1.25687,0.0004556,0.0004556,0.0004556
80,12035.7,0.86817,1.23647,0.45993,0.96763,0.81046,0.74178,0.78678,0.53459,0.8092,0.73998,0.78636,0.45671,1.22598,1.91831,0.77001,1.2333,0.0004358,0.0004358,0.0004358
81,12186.4,0.85723,1.23872,0.45363,0.96264,0.81388,0.7378,0.78476,0.52684,0.81311,0.73482,0.77988,0.45011,1.23166,1.88749,0.77426,1.25336,0.000416,0.000416,0.000416
